Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Au (at.%)
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,480.0,485.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,470.0,482.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,476.0,483.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,476.0,483.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,469.0,480.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,457.0,470.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,468.0,471.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,458.0,471.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,447.0,465.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,441.0,459.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,447.0,453.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,454.0,458.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,433.0,452.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,429.0,447.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,446.0,446.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,443.0,435.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,441.0,428.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,426.0,432.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,464.0,463.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,458.0,460.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,469.0,467.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,460.0,464.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,459.0,464.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,451.0,453.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,448.0,454.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,437.0,451.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,447.0,453.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,442.0,449.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,432.0,443.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,436.0,442.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,428.0,432.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,427.0,437.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,436.0,438.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,431.0,422.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,423.0,435.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,418.0,426.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,158.0,170.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,156.0,153.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,146.0,148.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,139.0,140.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,119.0,113.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
T. Butler,Master's Thesis,,2013.0,165.0,144.0,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
T. Butler,Master's Thesis,,2013.0,160.0,141.0,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
T. Butler,Master's Thesis,,2013.0,154.0,135.0,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
,,,2022.0,25.742,31.557,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,16.728,28.808,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,7.3754,25.174,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-2.7582,19.959,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-15.184,3.6927,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-11.954,8.8332,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-25.187,-8.2224,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-26.364,-8.4091,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-27.238,-9.6156,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-27.04,-8.4788,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,-27.141,-8.9008,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,34.956,36.504,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,23.708,33.261,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,13.911,29.492,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-9.2728,8.0663,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,3.6315,23.96,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-4.5303,11.648,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-15.433,-5.2786,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-16.635,-3.813,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-17.568,-4.8495,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-16.037,-5.0693,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,-17.682,-4.3766,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,39.251,41.772,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,28.912,37.843,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,17.173,33.796,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,7.0942,27.157,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
