Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Pd (at.%)
T.T. Sasaki; B.C. Hornbuckle; R.D. Noebe; G.S. Bigelow; M.L. Weaver; G.B. Thompson,Metallurgical and Materials Transactions A,Effect of Aging on Microstructure and Shape Memory Properties of a Ni-48Ti-25Pd (At. Pct) Alloy,2013.0,49.0,69.0,27.0,Ni27.0Ti48.0Pd25.0 %,48.0,25.0
T.T. Sasaki; B.C. Hornbuckle; R.D. Noebe; G.S. Bigelow; M.L. Weaver; G.B. Thompson,Metallurgical and Materials Transactions A,Effect of Aging on Microstructure and Shape Memory Properties of a Ni-48Ti-25Pd (At. Pct) Alloy,2013.0,45.0,63.0,27.0,Ni27.0Ti48.0Pd25.0 %,48.0,25.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,252.0,219.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,265.0,223.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,262.0,227.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,255.0,215.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,252.0,212.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,202.0,195.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,211.0,192.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
J. Wu; Q. Tian,Intermetallics,The superelasticity of TiPdNi high temperature shape memory alloy,2003.0,215.0,198.0,19.0,Ni19.0Ti51.0Pd30.0 %,51.0,30.0
C. Zhang; C. Yang; D. Ding; S. Qian; J. Wu,Materials Characterization,Characteristics of Ti–Ni–Pd shape memory alloy thin films,2005.0,96.0,98.0,26.4,Ni26.4Ti51.8Pd21.8 %,51.8,21.8
S. Gong; S. Hu; H. Xu,Materials Science Forum,Recrystallization of Ti51Ni13Pd36 high temperature shape memory alloys,2000.0,329.0,348.0,13.0,Ni13.0Ti51.0Pd36.0 %,51.0,36.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,26.0,45.0,45.0,Ni45.0Ti50.0Pd5.0 %,50.0,5.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,-18.0,-26.0,40.0,Ni40.0Ti50.0Pd10.0 %,50.0,10.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,95.0,90.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,241.0,230.0,20.0,Ni20.0Ti50.0Pd30.0 %,50.0,30.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,403.0,419.0,10.0,Ni10.0Ti50.0Pd40.0 %,50.0,40.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,486.0,503.0,5.0,Ni5.0Ti50.0Pd45.0 %,50.0,45.0
J.A. Monroe; I. Karaman; D.C. Lagoudas; G.S. Bigelow; R.D. Noebe; S.A. Padula II,Scripta Metallurgica et Materialia,Determining recoverable and irrecoverable contributions to accumulated strain in a NiTiPd high-temperature shape memory alloy during thermomechanical cycling,2011.0,269.0,284.0,19.5,Ni19.5Ti50.5Pd30.0 %,50.5,30.0
J.A. Monroe; I. Karaman; D.C. Lagoudas; G.S. Bigelow; R.D. Noebe; S.A. Padula II,Scripta Metallurgica et Materialia,Determining recoverable and irrecoverable contributions to accumulated strain in a NiTiPd high-temperature shape memory alloy during thermomechanical cycling,2011.0,277.0,275.0,19.5,Ni19.5Ti50.5Pd30.0 %,50.5,30.0
J.A. Monroe; I. Karaman; D.C. Lagoudas; G.S. Bigelow; R.D. Noebe; S.A. Padula II,Scripta Metallurgica et Materialia,Determining recoverable and irrecoverable contributions to accumulated strain in a NiTiPd high-temperature shape memory alloy during thermomechanical cycling,2011.0,277.0,281.0,19.5,Ni19.5Ti50.5Pd30.0 %,50.5,30.0
J.A. Monroe; I. Karaman; D.C. Lagoudas; G.S. Bigelow; R.D. Noebe; S.A. Padula II,Scripta Metallurgica et Materialia,Determining recoverable and irrecoverable contributions to accumulated strain in a NiTiPd high-temperature shape memory alloy during thermomechanical cycling,2011.0,277.0,277.0,19.5,Ni19.5Ti50.5Pd30.0 %,50.5,30.0
P. Li; H. E. Karaca and Y.-T. Cheng,Journal of Alloys and Compounds,Spherical indentation of NiTi-based shape memory alloys,2015.0,78.0,85.0,50.1,Ni50.1Ti49.9Pd0.0 %,49.9,0.0
P. Li; H. E. Karaca and Y.-T. Cheng,Journal of Alloys and Compounds,Spherical indentation of NiTi-based shape memory alloys,2015.0,-15.0,-4.0,50.8,Ni50.8Ti49.2Pd0.0 %,49.2,0.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,188.0,193.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,200.0,201.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,191.0,198.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,209.0,226.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,214.0,231.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,229.0,240.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,70.0,88.0,22.3,Ni22.3Ti47.9Pd29.8 %,47.9,29.8
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,71.0,89.0,22.3,Ni22.3Ti47.9Pd29.8 %,47.9,29.8
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,90.0,99.0,22.3,Ni22.3Ti47.9Pd29.8 %,47.9,29.8
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,178.0,151.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,169.0,141.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,150.0,139.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,189.0,159.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,205.0,164.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,176.0,186.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,188.0,188.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,197.0,192.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,210.0,193.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,225.0,200.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,190.0,199.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,203.0,205.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,216.0,211.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,229.0,217.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,246.0,228.0,21.8,Ni21.8Ti51.2Pd27.0 %,51.2,27.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,213.0,230.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,228.0,239.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,238.0,243.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,250.0,247.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,262.0,261.0,22.0,Ni22.0Ti49.5Pd28.5 %,49.5,28.5
M. Kohl; D. Dittmann; E. Quandt; B. Winzek,Sensors and Actuators,Thin film shape memory microvalves with adjustable operation temperature,2000.0,81.0,79.0,20.0,Ni20.0Ti52.0Pd28.0 %,52.0,28.0
S. Miyazaki; A. Ishida  ,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,104.0,110.0,26.4,Ni26.4Ti51.8Pd21.8 %,51.8,21.8
S. Miyazaki; A. Ishida  ,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,111.0,122.0,26.4,Ni26.4Ti51.8Pd21.8 %,51.8,21.8
S. Miyazaki; A. Ishida  ,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,106.0,114.0,26.4,Ni26.4Ti51.8Pd21.8 %,51.8,21.8
S. Miyazaki; A. Ishida  ,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,102.0,110.0,26.4,Ni26.4Ti51.8Pd21.8 %,51.8,21.8
S. Miyazaki; A. Ishida  ,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,91.0,113.0,26.4,Ni26.4Ti51.8Pd21.8 %,51.8,21.8
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,89.0,83.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,77.0,73.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,78.0,73.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,98.0,78.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,107.0,82.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,112.0,88.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,117.0,91.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,123.0,99.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,86.0,74.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,92.0,77.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,104.0,88.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,98.0,82.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,120.0,94.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,132.0,105.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,83.0,86.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,77.0,79.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,88.0,92.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,94.0,95.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,101.0,100.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,107.0,104.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,113.0,108.0,33.7,Ni33.7Ti50.3Pd16.0 %,50.3,16.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,135.0,129.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,117.0,108.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,109.0,102.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,129.0,115.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,135.0,136.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,137.0,138.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,137.0,142.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,146.0,147.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,115.0,116.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,119.0,120.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,123.0,122.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,128.0,126.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,134.0,129.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,140.0,133.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,103.0,110.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,108.0,115.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,113.0,118.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,120.0,124.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,128.0,128.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,135.0,132.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,142.0,133.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,126.0,125.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,127.0,132.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,135.0,138.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,141.0,144.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,151.0,151.0,30.0,Ni30.0Ti50.0Pd20.0 %,50.0,20.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,159.0,163.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,172.0,153.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,167.0,169.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,158.0,157.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
B. Winzek and E. Quandt,Zeitschrift für Metallkunde,Shape-memory Ti-Ni-X-films (X = Cu;Pd) under constraint,1999.0,63.0,37.0,39.2,Ni39.2Ti51.2Pd9.6 %,51.2,9.6
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,159.0,163.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,172.0,153.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,167.0,169.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,158.0,157.0,25.0,Ni25.0Ti50.0Pd25.0 %,50.0,25.0
