Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Au (at.%)
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,454.0,411.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,436.0,411.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,445.0,410.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,434.0,408.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,176.0,148.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,164.0,142.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,158.0,134.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,156.0,124.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,122.0,93.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
T. Butler,Master's Thesis,,2013.0,196.0,107.0,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
T. Butler,Master's Thesis,,2013.0,193.0,95.0,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
T. Butler,Master's Thesis,,2013.0,192.0,90.0,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
,,,2022.0,60.749,-5.8397,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,51.515,-10.185,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,41.676,-17.419,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,31.99,-26.513,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,12.1,-26.721,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,22.865,-33.656,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,22.046,-59.3,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,21.882,-60.254,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,21.874,-61.281,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,21.65,-61.698,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,22.758,-62.027,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,63.702,-0.94559,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,53.919,-4.4252,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,46.179,-11.043,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,22.244,-16.52,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,37.657,-18.472,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,29.149,-25.276,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,27.239,-43.61,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,26.203,-43.785,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,27.069,-47.128,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,26.762,-51.449,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,26.214,-52.307,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,65.07,7.4847,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,53.748,1.5059,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,45.921,-5.0592,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
